case_id,case_title,symptom,topology_note,show_commands,show_output,expected_fault,osi_layer,concept,severity,expected_fix
VLAN-01,PC connected to the wrong access VLAN,Finance PC cannot reach its Finance gateway or peers; it receives/uses an address for another segment.,PC-PT Fa0 to 2960 Fa0/2; Finance VLAN 10 uses router gateway 192.168.10.1.,S1# show vlan brief; S1# show running-config interface fa0/2; PC> ipconfig /all,Fa0/2 appears in VLAN 20; PC is expected in VLAN 10.,Switchport Fa0/2 is assigned to VLAN 20 instead of VLAN 10.,2,VLAN,Medium,On S1: interface fa0/2; switchport mode access; switchport access vlan 10. Renew/reconfigure the PC address if needed.
VLAN-02,Required user VLAN is missing from the switch,Engineering PCs on Fa0/3-Fa0/4 are isolated even though their ports reference VLAN 30.,Two PC-PT devices on 2960 ports Fa0/3 and Fa0/4; intended VLAN 30 and gateway 192.168.30.1.,S1# show vlan brief; S1# show running-config interface fa0/3,show vlan brief has no VLAN 30; Fa0/3 configuration contains switchport access vlan 30.,VLAN 30 was deleted or never created on the switch.,2,VLAN,Medium,Create it with vlan 30; name ENGINEERING; then confirm both access ports are assigned to VLAN 30.
VLAN-03,Inter-switch link is configured as an access port,"VLAN 10 hosts on different 2960 switches cannot communicate, while same-switch hosts work.",S1 Fa0/24 connected to S2 Fa0/24; VLAN 10 has a PC on each switch.,S1# show interfaces trunk; S1# show running-config interface fa0/24; S2# show interfaces trunk,No operational trunks are listed; Fa0/24 is configured with switchport mode access.,The inter-switch uplink is access mode rather than an 802.1Q trunk.,2,VLAN,High,Configure both uplink ports: switchport mode trunk; optionally set switchport trunk native vlan 99 consistently. Verify with show interfaces trunk.
VLAN-04,VLAN is excluded from the allowed trunk list,A VLAN 40 PC can reach its local gateway but not a VLAN 40 server across the switch uplink.,S1 and S2 trunk on Fa0/24; VLAN 40 PC on S1 and VLAN 40 server on S2.,S1# show interfaces trunk; S2# show interfaces trunk,"Fa0/24 is trunking, but VLANs allowed/active show 10,20,30 and omit 40.",VLAN 40 is not allowed across the trunk.,2,VLAN,High,On the relevant trunk: switchport trunk allowed vlan add 40. Confirm VLAN 40 is allowed and forwarding at both ends.
IP-01,Host has an address from the wrong subnet,PC cannot ping its default gateway and is assigned 192.168.20.50 while connected to the 192.168.10.0/24 LAN.,PC-PT to 2960 to R1 G0/0; LAN gateway is 192.168.10.1/24.,PC> ipconfig /all; PC> ping 192.168.10.1; R1# show ip interface brief,PC IPv4 address is 192.168.20.50/24; R1 G0/0 is 192.168.10.1 up/up.,Static host IP belongs to a different subnet.,3,IP Addressing,Medium,"Set the PC to an unused 192.168.10.x address with mask 255.255.255.0, or use the correct DHCP pool."
IP-02,Host subnet mask is too broad,PC reaches local addresses but sends traffic for 192.168.11.0/24 directly instead of through the gateway.,PC-PT on 192.168.10.0/24 LAN; R1 routes to 192.168.11.0/24.,PC> ipconfig /all; PC> tracert 192.168.11.10; R1# show ip route,PC mask is 255.255.0.0; tracert does not use 192.168.10.1 as first hop.,Host subnet mask is /16 instead of the LAN /24.,3,Subnet Mask,Medium,Configure mask 255.255.255.0 on the PC and retain gateway 192.168.10.1; retry the trace.
IP-03,Host has an incorrect default gateway,PC can ping same-subnet peers but cannot reach a remote server.,PC-PT and R1 G0/0 on 192.168.10.0/24; remote server on 192.168.20.0/24.,PC> ipconfig /all; PC> ping 192.168.10.1; PC> tracert 192.168.20.10,"PC gateway is 192.168.10.254, while R1 interface/gateway is 192.168.10.1.",The PC default gateway is not the router interface on its subnet.,3,Default Gateway,High,Set the PC default gateway to 192.168.10.1 and verify a remote ping.
IP-04,Duplicate static IP address,Two PCs intermittently lose connectivity and ARP resolves the same IP to changing MAC addresses.,"Two PC-PT devices on one 2960 access VLAN 10, with R1 gateway 192.168.10.1.",PC-A> ipconfig /all; PC-B> ipconfig /all; PC-A> ping 192.168.10.60; PC-A> arp -a,Both PCs are configured as 192.168.10.60/24; the ARP MAC for .60 changes after traffic.,Two endpoints use the same static IPv4 address.,2,IP Addressing,High,"Assign one PC a unique unused address (or DHCP), clear/refresh ARP, and confirm unique addressing."
DHCP-01,DHCP service is disabled on the server,New clients remain at 0.0.0.0 or APIPA-style addressing and cannot join the LAN.,PC-PT to 2960 to Server-PT; server DHCP service supplies 192.168.50.0/24.,PC> ipconfig /all; Server-PT Services > DHCP; R1# show ip dhcp binding,PC has no valid lease; the Server-PT DHCP service toggle is Off; router has no bindings.,The DHCP service is disabled.,7,DHCP,High,"Enable DHCP on Server-PT Services > DHCP, ensure the pool is enabled, then renew the PC lease."
DHCP-02,DHCP pool advertises the wrong default gateway,Client receives a valid IP lease but cannot reach any remote subnet.,Server-PT DHCP server on 192.168.60.0/24; R1 G0/0 is 192.168.60.1.,PC> ipconfig /all; Server-PT Services > DHCP; PC> ping 192.168.60.1,PC lease is 192.168.60.50/24 but gateway option is 192.168.60.254; the router is .1.,DHCP pool default-router option is incorrect.,3,DHCP,High,"Change the pool default gateway/default-router to 192.168.60.1, save, then release and renew the client lease."
